/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/layering_mutator.py 
🔍 Found 20 layering components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ FloatingLegalBanner       | RANDOM_LAYER_SWAP    | z-0 -> z-[-1]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> static
  ✅ FloatingActionDisplay     | RANDOM_LAYER_SWAP    | z-50 -> z-20
  ✅ ContextList               | RANDOM_LAYER_SWAP    | z-0 -> z-[999]
  ✅ StepProgressStack         | POSITION_BREAK       | absolute -> static
  ✅ LockedContentOverlay      | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> static
  ✅ CardBadgeStack            | RANDOM_LAYER_SWAP    | z-10 -> z-20
  ✅ HeroSectionLayer          | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ OverlaySidebar            | POSITION_BREAK       | relative -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_06.jsx

--- Processing Batch 07 ---
  ✅ CenterDialogOverlay       | Z_INDEX_EXTREME      | z-20 -> z-[100]
  ✅ PermanentNotification     | Z_INDEX_LOWER        | z-30 -> z-[-10]
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> static
  ✅ MultiLevelMenu            | RANDOM_LAYER_SWAP    | z-50 -> z-[100]
  ✅ StickyHeaderMock          | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-20 -> z-[-10]
  ✅ AvatarOverlap             | Z_INDEX_LOWER        | z-40 -> z-[-1]
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> relative
  ✅ FloatingLegalBanner       | Z_INDEX_EXTREME      | z-50 -> z-[100]
  ✅ PricingCardHighlight      | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ FloatingActionDisplay     | POSITION_BREAK       | relative -> static
  ✅ ContextList               | POSITION_BREAK       | relative -> absolute
  ✅ StepProgressStack         | POSITION_BREAK       | absolute -> relative
  ✅ LockedContentOverlay      | POSITION_BREAK       | relative -> absolute
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> relative
  ✅ HeroSectionLayer          | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ BreadcrumbOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-50
  ✅ OverlaySidebar            | RANDOM_LAYER_SWAP    | z-40 -> z-[-1]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_07.jsx

--- Processing Batch 08 ---
  ✅ CenterDialogOverlay       | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ PermanentNotification     | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ ImageBadgeOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ MultiLevelMenu            | RANDOM_LAYER_SWAP    | z-50 -> z-[-1]
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> static
  ✅ TooltipDisplay            | POSITION_BREAK       | absolute -> relative
  ✅ AvatarOverlap             | Z_INDEX_LOWER        | z-30 -> z-0
  ✅ VideoPlayerUI             | POSITION_BREAK       | relative -> static
  ✅ FloatingLegalBanner       | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> static
  ✅ FloatingActionDisplay     | POSITION_BREAK       | relative -> static
  ✅ ContextList               | POSITION_BREAK       | absolute -> relative
  ✅ StepProgressStack         | RANDOM_LAYER_SWAP    | z-10 -> z-[-10]
  ✅ LockedContentOverlay      | POSITION_BREAK       | relative -> absolute
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> static
  ✅ SearchAutocompleteBox     | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ CardBadgeStack            | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ HeroSectionLayer          | POSITION_BREAK       | absolute -> relative
